id_equipo_ideal,anio,posicion,jugador,id_seleccion,pais
1,2018,Arquero,Thibaut Courtois,6,Bélgica
2,2018,Defensores,Diego Godin,32,Uruguay
3,2018,Defensores,Marcelo,5,Brasil
4,2018,Defensores,Thiago Silva,5,Brasil
5,2018,Defensores,Raphael Varane,14,Francia
6,2018,Mediocampistas,Kevin De Bruyne,6,Bélgica
7,2018,Mediocampistas,Luka Modric,10,Croacia
8,2018,Mediocampistas,Philippe Coutinho,5,Brasil
9,2018,Delanteros,Harry Kane,15,Inglaterra
10,2018,Delanteros,Kylian Mbappé,14,Francia
11,2018,Delanteros,Cristiano Ronaldo,25,Portugal
