id_posicion_final,anio,posicion,id_seleccion,pais
1,2018,1,14,Francia
2,2018,2,10,Croacia
3,2018,3,6,Bélgica
4,2018,4,15,Inglaterra
5,2018,5,32,Uruguay
6,2018,6,5,Brasil
7,2018,7,29,Suecia
8,2018,8,26,Rusia
9,2018,9,7,Colombia
10,2018,10,13,España
11,2018,11,11,Dinamarca
12,2018,12,20,México
13,2018,13,25,Portugal
14,2018,14,30,Suiza
15,2018,15,18,Japón
16,2018,16,3,Argentina
17,2018,17,27,Senegal
18,2018,18,16,Irán
19,2018,19,8,Corea del Sur
20,2018,20,23,Perú
21,2018,21,21,Nigeria
22,2018,22,1,Alemania
23,2018,23,28,Serbia
24,2018,24,31,Túnez
25,2018,25,24,Polonia
26,2018,26,2,Arabia Saudita
27,2018,27,19,Marruecos
28,2018,28,17,Islandia
29,2018,29,9,Costa Rica
30,2018,30,4,Australia
31,2018,31,12,Egipto
32,2018,32,22,Panamá
