id_posicion_grupo,id_grupo,anio,grupo,id_seleccion,pais,pts,pj,pg,pe,pp,gf,gc,diferencia,clasificado
1,1,2022,Grupo A,60,Paises Bajos,7,3,2,1,0,5,1,4,Si
2,1,2022,Grupo A,70,Senegal,6,3,2,0,1,5,4,1,Si
3,1,2022,Grupo A,27,Ecuador,4,3,1,1,1,4,3,1,No
4,1,2022,Grupo A,16,Catar,0,3,0,0,3,1,7,-6,No
5,2,2022,Grupo B,44,Inglaterra,7,3,2,1,0,9,2,7,Si
6,2,2022,Grupo B,35,Estados Unidos,5,3,1,2,0,2,1,1,Si
7,2,2022,Grupo B,48,Irán,3,3,1,0,2,4,7,-3,No
8,2,2022,Grupo B,37,Gales,1,3,0,1,2,1,6,-5,No
9,3,2022,Grupo C,6,Argentina,6,3,2,0,1,5,2,3,Si
10,3,2022,Grupo C,64,Polonia,4,3,1,1,1,2,2,0,Si
11,3,2022,Grupo C,56,México,4,3,1,1,1,2,3,-1,No
12,3,2022,Grupo C,4,Arabia Saudita,3,3,1,0,2,3,5,-2,No
13,4,2022,Grupo D,36,Francia,6,3,2,0,1,6,3,3,Si
14,4,2022,Grupo D,7,Australia,6,3,2,0,1,3,4,-1,Si
15,4,2022,Grupo D,78,Túnez,4,3,1,1,1,1,1,0,No
16,4,2022,Grupo D,26,Dinamarca,1,3,0,1,2,1,3,-2,No
17,5,2022,Grupo E,53,Japón,6,3,2,0,1,4,3,1,Si
18,5,2022,Grupo E,34,España,4,3,1,1,1,9,3,6,Si
19,5,2022,Grupo E,1,Alemania,4,3,1,1,1,6,5,1,No
20,5,2022,Grupo E,22,Costa Rica,3,3,1,0,2,3,11,-8,No
21,6,2022,Grupo F,55,Marruecos,7,3,2,1,0,4,1,3,Si
22,6,2022,Grupo F,24,Croacia,5,3,1,2,0,4,1,3,Si
23,6,2022,Grupo F,13,Bélgica,4,3,1,1,1,1,2,-1,No
24,6,2022,Grupo F,15,Canadá,0,3,0,0,3,2,7,-5,No
25,7,2022,Grupo G,11,Brasil,6,3,2,0,1,3,1,2,Si
26,7,2022,Grupo G,74,Suiza,6,3,2,0,1,4,3,1,Si
27,7,2022,Grupo G,14,Camerún,4,3,1,1,1,4,4,0,No
28,7,2022,Grupo G,71,Serbia,1,3,0,1,2,5,8,-3,No
29,8,2022,Grupo H,65,Portugal,6,3,2,0,1,6,4,2,Si
30,8,2022,Grupo H,21,Corea del Sur,4,3,1,1,1,4,4,0,Si
31,8,2022,Grupo H,80,Uruguay,4,3,1,1,1,2,2,0,No
32,8,2022,Grupo H,38,Ghana,3,3,1,0,2,5,7,-2,No
