id_premio,anio,tipo_premio,id_jugador,jugador,id_seleccion,pais
1,2022,Balón de Oro,5318,Lionel Messi,6,Argentina
2,2022,Balón de Plata,3992,Kylian Mbappe,36,Francia
3,2022,Balón de Bronce,1124,Luka Modric,24,Croacia
4,2022,Botín de Oro,3992,Kylian Mbappe,36,Francia
5,2022,Botín de Plata,5318,Lionel Messi,6,Argentina
6,2022,Botín de Bronce,3923,Olivier Giroud,36,Francia
7,2022,Guante de Oro,5309,Emiliano Martinez,6,Argentina
8,2022,Mejor Jugador Joven,5251,Enzo Fernandez,6,Argentina
9,2022,FIFA Fair Play,,Inglaterra,44,Inglaterra
